São Tomé and Principe,0,,
Cabo Verde,0,,
Malta,0,,
Jersey,0,,
Guernsey,0,,
Isle of Man,0,,
Faroe Islands,0,,
Singapore,0,,
Cook Islands,0,,
Tonga,0,,
Wallis and Futuna,0,,
Samoa,0,,
Solomon Islands,0,,
Tuvalu,0,,
Maldives,0,,
Nauru,0,,
Federated States of Micronesia,0,,
Falkland Islands,0,,
Vanuatu,0,,
Niue,0,,
American Samoa,0,,
Palau,0,,
Guam,0,,
Northern Mariana Islands,0,,
Bahrain,0,,
Macao S.A.R,0,,
Ukraine,-3.19E-05,,
Egypt,-0.000116464,,
Switzerland,-0.000230798,,
Afghanistan,-0.000307943,,
Zimbabwe,-0.000390404,,
Liberia,-0.000396649,,
Luxembourg,-0.000517557,,
Armenia,-0.000521286,,
Cambodia,-0.000545198,,
Lebanon,-0.000763206,,
Malaysia,-0.000816526,,
Brunei,-0.001073988,,
Germany,-0.001791958,,
Andorra,-0.001999821,,
Laos,-0.002295288,,
Russia,-0.002302892,,
Niger,-0.002784972,,
Denmark,-0.002932988,,
Kenya,-0.004892335,,
France,-0.005154351,,
Israel,-0.005379244,,
Cameroon,-0.005493684,,
Sierra Leone,-0.005733161,,
North Korea,-0.006693385,,
Chad,-0.007475344,,
Monaco,-0.010189897,,
South Africa,-0.011744827,,
Benin,-0.015369363,,
Lesotho,-0.015669446,,
Ghana,-0.01653206,,
Mongolia,-0.017285795,,
Hong Kong S.A.R.,-0.021291017,,
Bangladesh,-0.038049487,,
Myanmar,-0.056905752,,
Nepal,-0.108164059,,
Nigeria,-0.109516534,,
Bhutan,-0.161480759,,
Mexico,-0.270797902,,
